id,imagePath
beans,Sprites/beans
rice,Sprites/rice
tomato,Sprites/tomato
onion,Sprites/onion
meat,Sprites/meat
avocado,Sprites/avocado
water,Sprites/water
wheat,Sprites/wheat
egg,Sprites/egg
fire,Sprites/fire
milk,Sprites/milk
flour,Sprites/flour
batter,Sprites/batter
dough,Sprites/dough
bread,Sprites/bread
tortilla,Sprites/tortilla
empanada,Sprites/empanada
butter,Sprites/butter
cheese,Sprites/cheese
salsa,Sprites/salsa
quesadilla,Sprites/quesadilla
arroz_con_habichuelas,Sprites/arroz_con_habichuelas
guacamole,Sprites/guacamole
taco,Sprites/taco
bean_burrito,Sprites/bean_burrito
arroz_rojo,Sprites/arroz_rojo
arroz_con_leche,Sprites/arroz_con_leche
guiso,Sprites/guiso
omelette,Sprites/omelette
grilled_meat,Sprites/grilled_meat
albondigas,Sprites/albondigas
pasta,Sprites/pasta
flan,Sprites/flan
sandwich,Sprites/sandwich
avocado_toast,Sprites/avocado_toast
fideos_rojos,Sprites/fideos_rojos
fried_egg,Sprites/fried_egg
huevos_rancheros,Sprites/huevos_rancheros
arroz_con_huevo,Sprites/arroz_con_huevo
queso_fundido,Sprites/queso_fundido
pan_con_queso,Sprites/pan_con_queso
nachos,Sprites/nachos
arroz_con_carne,Sprites/arroz_con_carne
rice_bowl,Sprites/rice_bowl
pupusa,Sprites/pupusa
tamal,Sprites/tamal
