inputA,inputB,output
wheat,wheat,flour
flour,water,batter
dough,fire,bread
batter,fire,tortilla
dough,meat,empanada
milk,milk,butter
butter,butter,cheese
butter,batter,dough
tomato,tomato,salsa
tortilla,cheese,quesadilla
beans,rice,arroz_con_habichuelas
avocado,tomato,guacamole
tortilla,grilled_meat,taco
tortilla,beans,bean_burrito
rice,tomato,arroz_rojo
rice,milk,arroz_con_leche
tomato,meat,guiso
onion,egg,omelette
meat,fire,grilled_meat
meat,egg,albondigas
flour,egg,pasta
milk,egg,flan
bread,grilled_meat,sandwich
bread,avocado,avocado_toast
pasta,tomato,fideos_rojos
egg,fire,fried_egg
fried_egg,tortilla,huevos_rancheros
fried_egg,rice,arroz_con_huevo
cheese,fire,queso_fundido
cheese,bread,pan_con_queso
salsa,tortilla,nachos
meat,rice,arroz_con_carne
avocado,rice,rice_bowl
dough,cheese,pupusa
dough,meat,tamal
